vehicle_id,timestamp,speed,lead_vehicle_distance,relative_speed,lane_offset,steering_angle,brake_pressure,object_count,pedestrian_count,autopilot_engaged,traffic_light_state,weather_condition,road_type,scenario_type,time_gap,closing_risk,lane_departure_risk,hard_brake_risk,crowded_scene_risk,low_visibility_flag,red_light_flag,urban_flag,highway_flag,driver_intervention,near_collision,intervention_or_collision,is_risky_event
EV_001,2026-01-01 00:00:00,41.657,49.784,2.232,0.253,-2.324,0.108,4,1,1,green,clear,urban,normal_driving,1.1950932616366998,0.0,0.253,0.108,7,0,0,1,0,0,0,0,0
EV_001,2026-01-01 00:05:00,85.714,50.913,0.978,-0.129,-2.401,0.226,3,1,1,none,clear,urban,normal_driving,0.5939869799565999,0.0,0.129,0.226,6,0,0,1,0,0,0,0,0
EV_001,2026-01-01 00:10:00,39.062,47.953,5.908,0.043,-0.463,0.126,5,0,1,none,clear,suburban,normal_driving,1.227612513440172,0.0,0.043,0.126,5,0,0,0,0,0,0,0,0
EV_001,2026-01-01 00:15:00,67.372,58.969,-6.714,-0.077,1.325,0.228,2,0,1,red,clear,suburban,normal_driving,0.875274594787152,6.714,0.077,0.228,2,0,1,0,0,0,0,0,0
EV_001,2026-01-01 00:20:00,46.195,56.934,11.963,0.085,13.489,0.091,2,0,1,red,clear,urban,red_light_risk,1.2324710466500703,0.0,0.085,0.091,2,0,1,1,0,1,0,1,1
EV_001,2026-01-01 00:25:00,58.517,58.449,-4.883,-0.079,-5.93,0.132,4,1,1,red,clear,highway,normal_driving,0.9988379445289403,4.883,0.079,0.132,7,0,1,0,1,0,0,0,0
EV_001,2026-01-01 00:30:00,39.281,89.155,-8.77,0.229,-2.664,0.109,3,0,0,green,clear,urban,normal_driving,2.2696723606832823,8.77,0.229,0.109,3,0,0,1,0,0,0,0,0
EV_001,2026-01-01 00:35:00,49.699,43.738,9.896,-0.357,1.352,0.308,4,0,1,none,clear,suburban,normal_driving,0.8800579488520897,0.0,0.357,0.308,4,0,0,0,0,0,0,0,0
EV_001,2026-01-01 00:40:00,49.686,50.673,15.471,0.02,-1.666,0.219,4,2,1,none,clear,urban,normal_driving,1.0198647506339815,0.0,0.02,0.219,10,0,0,1,0,0,0,0,0
EV_001,2026-01-01 00:45:00,42.667,56.119,-13.684,0.03,4.002,0.162,9,2,1,none,snow,highway,normal_driving,1.3152787868844773,13.684,0.03,0.162,15,1,0,0,1,0,0,0,0
EV_001,2026-01-01 00:50:00,56.808,44.764,-10.641,-0.006,5.373,0.091,6,3,1,green,clear,urban,normal_driving,0.7879876073792424,10.641,0.006,0.091,15,0,0,1,0,0,0,0,0
EV_001,2026-01-01 00:55:00,88.407,44.532,-0.093,0.048,2.428,0.122,6,0,1,green,clear,urban,normal_driving,0.5037157691133055,0.093,0.048,0.122,6,0,0,1,0,0,0,0,0
EV_001,2026-01-01 01:00:00,41.227,65.844,-6.842,-0.257,3.531,0.114,4,0,1,red,clear,highway,normal_driving,1.5971086909064447,6.842,0.257,0.114,4,0,1,0,1,0,0,0,0
EV_001,2026-01-01 01:05:00,53.016,34.692,0.547,-0.102,7.558,0.096,6,0,1,yellow,clear,suburban,normal_driving,0.6543684925305568,0.0,0.102,0.096,6,0,0,0,0,0,0,0,0
EV_001,2026-01-01 01:10:00,69.525,42.731,-2.996,-0.323,-3.062,0.184,3,1,0,red,clear,highway,normal_driving,0.6146134483998561,2.996,0.323,0.184,6,0,1,0,1,0,0,0,0
EV_001,2026-01-01 01:15:00,50.579,47.358,-0.924,0.208,-1.277,0.134,7,1,0,green,clear,highway,normal_driving,0.9363174439984974,0.924,0.208,0.134,10,0,0,0,1,0,0,0,0
EV_001,2026-01-01 01:20:00,48.409,61.452,16.905,-0.125,-1.298,0.192,3,4,1,red,rain,urban,normal_driving,1.2694333698279245,0.0,0.125,0.192,15,1,1,1,0,0,0,0,0
EV_001,2026-01-01 01:25:00,60.775,52.006,9.096,0.112,-4.58,0.197,3,1,1,red,clear,urban,normal_driving,0.8557136980666392,0.0,0.112,0.197,6,0,1,1,0,0,0,0,0
EV_001,2026-01-01 01:30:00,78.415,44.399,4.235,-0.046,-0.36,0.11,7,2,1,green,clear,urban,normal_driving,0.5662054453867245,0.0,0.046,0.11,13,0,0,1,0,0,0,0,0
EV_001,2026-01-01 01:35:00,51.088,93.81,-12.36,-0.211,1.568,0.14,4,1,0,green,fog,urban,normal_driving,1.8362433448167867,12.36,0.211,0.14,7,1,0,1,0,0,0,0,0
EV_001,2026-01-01 01:40:00,76.764,51.069,0.721,0.021,-1.034,0.245,4,0,1,red,rain,suburban,normal_driving,0.6652727841175552,0.0,0.021,0.245,4,1,1,0,0,0,0,0,0
